D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
189.2431 -2.4667 0 188.1199 -2.4784 0 24.3125 23.6314 188.3789 -2.4216 0.04509 187.6412 -2.4348 0.043655 24.375 23.4859 10-Dec-2019 13:49:17
189.2401 -2.4698 0 188.1169 -2.4815 0 24.25 23.6314 188.3734 -2.4272 0.042557 187.6413 -2.4347 0.046814 24.375 23.4768 10-Dec-2019 13:49:23
189.2459 -2.464 0 188.1227 -2.4757 0 24.25 23.6314 188.3768 -2.4238 0.040207 187.6447 -2.4312 0.044464 24.375 23.4859 10-Dec-2019 13:49:29
189.2415 -2.4684 0 188.1183 -2.4801 0 24.3125 23.6223 188.3735 -2.4271 0.041367 187.6414 -2.4345 0.045624 24.375 23.4859 10-Dec-2019 13:49:36
189.2389 -2.471 0 188.1157 -2.4827 0 24.25 23.6314 188.3747 -2.4258 0.045135 187.6427 -2.4333 0.049393 24.375 23.4859 10-Dec-2019 13:49:42
189.2413 -2.4686 0 188.1181 -2.4803 0 24.25 23.6314 188.3728 -2.4277 0.040848 187.6408 -2.4352 0.045105 24.375 23.4859 10-Dec-2019 13:49:48
189.2411 -2.4688 0 188.1179 -2.4805 0 24.25 23.6223 188.3687 -2.4319 0.03688 187.6366 -2.4393 0.041138 24.375 23.4768 10-Dec-2019 13:49:54
189.2388 -2.4711 0 188.1156 -2.4828 0 24.25 23.6314 188.3737 -2.4269 0.044266 187.6416 -2.4343 0.048523 24.375 23.4859 10-Dec-2019 13:50:00
189.2376 -2.4723 0 188.1144 -2.4839 0 24.25 23.6314 188.376 -2.4246 0.047653 187.6439 -2.432 0.05191 24.375 23.4859 10-Dec-2019 13:50:06
189.2395 -2.4704 0 188.122 -2.4764 0 24.3125 23.6223 188.3766 -2.424 0.046432 187.6446 -2.4314 0.045013 24.375 23.4859 10-Dec-2019 13:50:12
189.2375 -2.4724 0 188.12 -2.4784 0 24.3125 23.6314 188.3708 -2.4298 0.042618 187.6387 -2.4372 0.041199 24.375 23.4859 10-Dec-2019 13:50:18
189.2349 -2.475 0 188.1174 -2.481 0 24.3125 23.6223 188.3842 -2.4163 0.058624 187.6637 -2.4122 0.068741 24.8125 23.4859 10-Dec-2019 13:50:24
189.2323 -2.4776 0 188.1148 -2.4836 0 24.3125 23.6314 188.4402 -2.3604 0.11717 187.8308 -2.2451 0.23849 26 23.4859 10-Dec-2019 13:50:30
189.2345 -2.4754 0 188.1113 -2.487 0 24.25 23.6314 188.5232 -2.2774 0.19795 188.0381 -2.0379 0.44916 27.0625 23.4859 10-Dec-2019 13:50:37
189.2375 -2.4724 0 188.12 -2.4784 0 24.3125 23.6223 188.621 -2.1796 0.2928 188.249 -1.827 0.65144 27.9375 23.4859 10-Dec-2019 13:50:43
189.2354 -2.4745 0 188.1122 -2.4862 0 24.25 23.6314 188.7128 -2.0878 0.38675 188.4373 -1.6386 0.84761 28.6875 23.4768 10-Dec-2019 13:50:49
189.2385 -2.4714 0 188.1153 -2.4831 0 24.25 23.6314 188.7718 -2.0288 0.4426 188.5894 -1.4866 0.99654 29.3125 23.4859 10-Dec-2019 13:50:55
189.2364 -2.4735 0 188.1132 -2.4852 0 24.25 23.6314 188.7965 -2.0041 0.46942 188.6935 -1.3825 1.1027 29.9375 23.4859 10-Dec-2019 13:51:01
189.2369 -2.4729 0 188.1194 -2.479 0 24.3125 23.6223 188.791 -2.0096 0.46332 188.77 -1.306 1.173 30.4375 23.4768 10-Dec-2019 13:51:07
189.2378 -2.472 0 188.1203 -2.4781 0 24.3125 23.6223 188.764 -2.0365 0.4355 188.8279 -1.2481 1.23 31 23.4859 10-Dec-2019 13:51:13
189.2374 -2.4725 0 188.1199 -2.4785 0 24.3125 23.6314 188.717 -2.0836 0.3889 188.8584 -1.2175 1.261 31.5 23.4768 10-Dec-2019 13:51:19
189.2361 -2.4738 0 188.1186 -2.4798 0 24.3125 23.6314 188.6593 -2.1413 0.33246 188.8804 -1.1955 1.2843 31.9375 23.4768 10-Dec-2019 13:51:25
189.2348 -2.4751 0 188.1116 -2.4868 0 24.25 23.6314 188.5936 -2.207 0.26808 188.8861 -1.1898 1.2969 32.375 23.4768 10-Dec-2019 13:51:32
189.2372 -2.4727 0 188.1197 -2.4787 0 24.3125 23.6314 188.5289 -2.2717 0.201 188.8943 -1.1816 1.2971 32.8125 23.4768 10-Dec-2019 13:51:38
189.2327 -2.4771 0 188.1152 -2.4832 0 24.3125 23.6314 188.4567 -2.3439 0.13327 188.8965 -1.1795 1.3037 33.25 23.4768 10-Dec-2019 13:51:44
189.2366 -2.4733 0 188.1134 -2.485 0 24.25 23.6223 188.354 -2.4466 0.026688 188.8914 -1.1846 1.3004 33.625 23.4768 10-Dec-2019 13:51:50
189.2353 -2.4746 0 188.1178 -2.4806 0 24.3125 23.6314 188.2713 -2.5293 -0.054642 188.8642 -1.2118 1.2689 34 23.4768 10-Dec-2019 13:51:56
189.2332 -2.4767 0 188.1157 -2.4827 0 24.25 23.6314 188.2071 -2.5934 -0.11674 188.8673 -1.2086 1.2741 34.375 23.4677 10-Dec-2019 13:52:02
189.2304 -2.4794 0 188.1129 -2.4855 0 24.3125 23.6314 188.1356 -2.665 -0.18552 188.8642 -1.2118 1.2737 34.75 23.4677 10-Dec-2019 13:52:08
189.2335 -2.4764 0 188.1103 -2.4881 0 24.3125 23.6314 188.0723 -2.7283 -0.25195 188.8702 -1.2058 1.2823 35.125 23.4677 10-Dec-2019 13:52:14
189.2324 -2.4775 0 188.1149 -2.4835 0 24.25 23.6314 188.0056 -2.795 -0.3175 188.862 -1.2139 1.2696 35.4375 23.4677 10-Dec-2019 13:52:20
189.2342 -2.4757 0 188.111 -2.4874 0 24.3125 23.6314 187.9384 -2.8622 -0.38649 188.866 -1.21 1.2774 35.8125 23.4677 10-Dec-2019 13:52:26
189.2316 -2.4783 0 188.1141 -2.4843 0 24.3125 23.6314 187.8706 -2.93 -0.45171 188.8581 -1.2178 1.2664 36.125 23.4586 10-Dec-2019 13:52:33
189.2305 -2.4794 0 188.1129 -2.4854 0 24.3125 23.6314 187.8081 -2.9925 -0.51308 188.8562 -1.2197 1.2657 36.4375 23.4677 10-Dec-2019 13:52:39
189.2265 -2.4834 0 188.109 -2.4894 0 24.3125 23.6314 187.747 -3.0536 -0.57019 188.8564 -1.2196 1.2698 36.75 23.4586 10-Dec-2019 13:52:45
189.227 -2.4829 0 188.1095 -2.4889 0 24.3125 23.6314 187.6873 -3.1133 -0.6304 188.8586 -1.2174 1.2715 37.0625 23.4586 10-Dec-2019 13:52:51
