D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
191.5878 -0.12212 0 190.4878 -0.1106 0 24.5 23.6314 187.5779 -3.2227 -3.1006 190.6446 0.5687 0.67929 45.625 23.3677 09-Dec-2019 16:07:19
191.5869 -0.123 0 190.4869 -0.11148 0 24.5 23.6223 187.5126 -3.2879 -3.1649 190.5047 0.4288 0.54028 45.3125 23.3768 09-Dec-2019 16:07:25
191.582 -0.12785 0 190.482 -0.11633 0 24.5 23.6314 187.4703 -3.3303 -3.2025 190.3881 0.31213 0.42847 45 23.3768 09-Dec-2019 16:07:31
191.5825 -0.12735 0 190.4825 -0.11583 0 24.5 23.6314 187.4794 -3.3212 -3.1939 190.3972 0.32123 0.43706 45 23.3768 09-Dec-2019 16:07:37
191.5818 -0.12807 0 190.4818 -0.11655 0 24.5 23.6314 187.5394 -3.2612 -3.1331 190.5912 0.51521 0.63176 45.5625 23.3768 09-Dec-2019 16:07:43
191.5806 -0.1293 0 190.4806 -0.11778 0 24.5 23.6314 187.5927 -3.2079 -3.0786 190.7644 0.68842 0.8062 46.0625 23.3768 09-Dec-2019 16:07:49
191.58 -0.12985 0 190.48 -0.11833 0 24.5 23.6314 187.6433 -3.1573 -3.0275 190.8903 0.81436 0.93269 46.375 23.3768 09-Dec-2019 16:07:55
191.5799 -0.13002 0 190.4799 -0.1185 0 24.5 23.6223 187.6853 -3.1153 -2.9852 191.0079 0.93199 1.0505 46.6875 23.3768 09-Dec-2019 16:08:01
191.5807 -0.12921 0 190.4807 -0.11769 0 24.5 23.6314 187.718 -3.0826 -2.9534 191.1165 1.0406 1.1582 47 23.3768 09-Dec-2019 16:08:08
191.5795 -0.13042 0 190.4795 -0.1189 0 24.5 23.6314 187.7426 -3.058 -2.9276 191.1867 1.1108 1.2297 47.1875 23.3768 09-Dec-2019 16:08:14
191.5759 -0.13394 0 190.476 -0.12242 0 24.5 23.6223 187.7535 -3.047 -2.9131 191.2587 1.1827 1.3051 47.4375 23.3677 09-Dec-2019 16:08:20
191.5779 -0.13203 0 190.4779 -0.12051 0 24.5 23.6223 187.7576 -3.043 -2.9109 191.3085 1.2326 1.3531 47.625 23.3677 09-Dec-2019 16:08:26
191.5777 -0.13222 0 190.4777 -0.1207 0 24.5 23.6223 187.7393 -3.0613 -2.9291 191.3361 1.2602 1.3809 47.8125 23.3768 09-Dec-2019 16:08:32
191.5754 -0.13451 0 190.4754 -0.12299 0 24.5 23.6223 187.7197 -3.0809 -2.9464 191.3625 1.2866 1.4096 48 23.3768 09-Dec-2019 16:08:38
191.5739 -0.136 0 190.4739 -0.12448 0 24.5 23.6223 187.6925 -3.1081 -2.9721 191.3813 1.3054 1.4299 48.1875 23.3677 09-Dec-2019 16:08:44
191.5707 -0.13916 0 190.4707 -0.12764 0 24.5 23.6223 187.6582 -3.1424 -3.0032 191.3778 1.3019 1.4295 48.375 23.3677 09-Dec-2019 16:08:50
191.5722 -0.1377 0 190.4722 -0.12617 0 24.5 23.6223 187.6208 -3.1798 -3.0421 191.3712 1.2953 1.4214 48.5625 23.3677 09-Dec-2019 16:08:56
