D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
154.359 -108.2719 0 153.2909 -108.2704 0 24.8125 23.6223 350.713 -0.014038 108.2578 350.1012 0.035431 108.3058 24.6875 23.4859 23-Dec-2019 14:46:11
154.219 -108.4118 0 153.1448 -108.4165 0 24.8125 23.6223 350.6332 -0.093872 108.318 350.0213 -0.044434 108.372 24.6875 23.4859 23-Dec-2019 14:46:42
154.2496 -108.3813 0 153.1815 -108.3798 0 24.8125 23.6223 350.6642 -0.062897 108.3184 350.0523 -0.013428 108.3664 24.6875 23.4859 23-Dec-2019 14:47:13
154.2402 -108.3906 0 153.166 -108.3953 0 24.8125 23.6223 350.7037 -0.023315 108.3673 350.0919 0.026154 108.4214 24.6875 23.4859 23-Dec-2019 14:47:44
154.2586 -108.3723 0 153.1844 -108.3769 0 24.8125 23.6223 350.6738 -0.053253 108.319 350.062 -0.0037842 108.3731 24.6875 23.4768 23-Dec-2019 14:48:15
154.2346 -108.3962 0 153.1605 -108.4008 0 24.8125 23.6223 350.6464 -0.080658 108.3155 350.0409 -0.024841 108.376 24.6875 23.4859 23-Dec-2019 14:48:46
154.2922 -108.3386 0 153.2242 -108.3372 0 24.8125 23.6223 350.6889 -0.038116 108.3005 350.0771 0.011353 108.3485 24.6875 23.4859 23-Dec-2019 14:49:17
154.271 -108.3598 0 153.1968 -108.3645 0 24.8125 23.6314 350.6814 -0.045624 108.3142 350.0696 0.0038452 108.3683 24.6875 23.4859 23-Dec-2019 14:49:48
154.2454 -108.3854 0 153.1712 -108.3901 0 24.875 23.6223 350.6542 -0.072845 108.3126 350.0424 -0.023376 108.3667 24.6875 23.4768 23-Dec-2019 14:50:19
154.2183 -108.4126 0 153.1441 -108.4172 0 24.8125 23.6223 350.6284 -0.098602 108.314 350.0166 -0.049164 108.368 24.6875 23.4859 23-Dec-2019 14:50:50
154.2959 -108.3349 0 153.2218 -108.3396 0 24.8125 23.6223 350.7059 -0.021118 108.3138 350.0941 0.028351 108.3679 24.6875 23.4859 23-Dec-2019 14:51:22
154.2877 -108.3432 0 153.2135 -108.3478 0 24.8125 23.6223 350.6836 -0.043457 108.2997 350.0717 0.006012 108.3538 24.6875 23.4859 23-Dec-2019 14:51:53
154.2274 -108.4034 0 153.1594 -108.4019 0 24.875 23.6223 350.6276 -0.099457 108.3039 350.0221 -0.04364 108.3583 24.75 23.4859 23-Dec-2019 14:52:24
154.2788 -108.352 0 153.2047 -108.3566 0 24.8125 23.6223 350.6862 -0.040833 108.3112 350.0744 0.0086365 108.3653 24.75 23.4768 23-Dec-2019 14:52:55
