D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
191.711 0.0011292 0 190.5995 0.0011292 0 24.375 23.6314 190.8014 0.0007782 -0.00035095 190.0767 0.0007782 -0.00035095 24.4375 23.4859 09-Dec-2019 15:43:07
191.7102 0.00032043 0 190.6044 0.006073 0 24.4375 23.6223 190.8011 0.00053406 0.00021362 190.0765 0.00053406 -0.0055389 24.4375 23.4859 09-Dec-2019 15:43:14
191.7102 0.00032043 0 190.6044 0.006073 0 24.4375 23.6223 190.7976 -0.0029449 -0.0032654 190.073 -0.0029449 -0.0090179 24.4375 23.495 09-Dec-2019 15:43:20
191.7092 -0.00071716 0 190.5977 -0.00071716 0 24.375 23.6223 190.7987 -0.0019226 -0.0012054 190.074 -0.0019226 -0.0012054 24.4375 23.4859 09-Dec-2019 15:43:26
191.7096 -0.0002594 0 190.5981 -0.0002594 0 24.375 23.6223 190.7978 -0.0027618 -0.0025024 190.0732 -0.0027618 -0.0025024 24.4375 23.4768 09-Dec-2019 15:43:32
191.7096 -0.00028992 0 190.5981 -0.00028992 0 24.375 23.6223 190.7977 -0.0029144 -0.0026245 190.073 -0.0029144 -0.0026245 24.4375 23.4859 09-Dec-2019 15:43:38
191.7102 0.00028992 0 190.6044 0.0060425 0 24.4375 23.6223 190.7971 -0.003479 -0.0037689 190.0725 -0.003479 -0.0095215 24.4375 23.4859 09-Dec-2019 15:43:44
191.7116 0.0017548 0 190.6001 0.0017548 0 24.375 23.6314 190.798 -0.002533 -0.0042877 190.0734 -0.002533 -0.0042877 24.4375 23.4859 09-Dec-2019 15:43:50
191.7094 -0.00050354 0 190.5979 -0.00050354 0 24.375 23.6223 190.7998 -0.00080872 -0.00030518 190.0751 -0.00080872 -0.00030518 24.4375 23.4859 09-Dec-2019 15:43:56
191.711 0.0010834 0 190.5995 0.0010834 0 24.375 23.6223 190.7967 -0.003891 -0.0049744 190.0721 -0.003891 -0.0049744 24.4375 23.4859 09-Dec-2019 15:44:02
191.7127 0.0028076 0 190.6069 0.0085602 0 24.4375 23.6314 190.7983 -0.0023041 -0.0051117 190.0736 -0.0023041 -0.010864 24.4375 23.4859 09-Dec-2019 15:44:08
