D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
353.8847 0.0041809 0 352.7592 0.0041809 0 24.625 23.6223 352.8166 -0.0015564 -0.0057373 352.212 -0.0015564 -0.0057373 24.75 23.395 18-Dec-2019 17:44:50
353.8911 0.010559 0 352.7656 0.010559 0 24.625 23.6314 352.8179 -0.00021362 -0.010773 352.2134 -0.00021362 -0.010773 24.75 23.4041 18-Dec-2019 17:45:21
353.8874 0.0068359 0 352.7619 0.0068359 0 24.625 23.6223 352.8175 -0.00067139 -0.0075073 352.2066 -0.007019 -0.013855 24.6875 23.204 18-Dec-2019 17:45:52
353.8873 0.0067749 0 352.7618 0.0067749 0 24.625 23.6314 352.8188 0.00067139 -0.0061035 352.2079 -0.0056763 -0.012451 24.75 23.6677 18-Dec-2019 17:46:23
353.8873 0.0067444 0 352.7618 0.0067444 0 24.625 23.6314 352.8211 0.0029297 -0.0038147 352.2102 -0.003418 -0.010162 24.6875 24.0314 18-Dec-2019 17:46:54
353.8882 0.0076904 0 352.7628 0.0076904 0 24.625 23.6223 352.8216 0.003479 -0.0042114 352.2107 -0.0028687 -0.010559 24.75 23.104 18-Dec-2019 17:47:25
353.8979 0.017334 0 352.7724 0.017334 0 24.625 23.6223 352.8226 0.0044861 -0.012848 352.2117 -0.0018616 -0.019196 24.6875 23.395 18-Dec-2019 17:47:56
353.8876 0.0070801 0 352.7621 0.0070801 0 24.625 23.6314 352.8242 0.006073 -0.0010071 352.2133 -0.00027466 -0.0073547 24.6875 23.4404 18-Dec-2019 17:48:27
353.8943 0.013763 0 352.7688 0.013763 0 24.625 23.6223 352.8224 0.0042114 -0.009552 352.2115 -0.0021362 -0.0159 24.6875 23.6677 18-Dec-2019 17:48:59
353.8925 0.011902 0 352.767 0.011902 0 24.625 23.6314 352.8198 0.0016479 -0.010254 352.2089 -0.0046997 -0.016602 24.6875 22.9585 18-Dec-2019 17:49:30
353.8895 0.0089417 0 352.764 0.0089417 0 24.625 23.6314 352.8185 0.00036621 -0.0085754 352.2076 -0.0059814 -0.014923 24.6875 23.1586 18-Dec-2019 17:50:01
353.8896 0.0090332 0 352.7641 0.0090332 0 24.625 23.6314 352.8156 -0.002594 -0.011627 352.2047 -0.0089417 -0.017975 24.75 23.7314 18-Dec-2019 17:50:32
353.8864 0.0058289 0 352.7609 0.0058289 0 24.625 23.6314 352.8157 -0.0024109 -0.0082397 352.2048 -0.0087585 -0.014587 24.6875 23.3586 18-Dec-2019 17:51:03
353.8895 0.0089111 0 352.764 0.0089111 0 24.625 23.6314 352.8158 -0.0023193 -0.01123 352.2049 -0.008667 -0.017578 24.6875 23.4768 18-Dec-2019 17:51:34
353.886 0.0054626 0 352.7578 0.0027161 0 24.625 23.6314 352.8161 -0.0020752 -0.0075378 352.2052 -0.0084229 -0.011139 24.6875 23.9041 18-Dec-2019 17:52:05
353.8877 0.0071716 0 352.7622 0.0071716 0 24.625 23.6223 352.8181 0 -0.0071716 352.2072 -0.0063477 -0.013519 24.6875 23.3404 18-Dec-2019 17:52:36
353.8879 0.0073853 0 352.7625 0.0073853 0 24.625 23.6314 352.8172 -0.00091553 -0.0083008 352.2063 -0.0072632 -0.014648 24.6875 23.5223 18-Dec-2019 17:53:07
353.8954 0.014801 0 352.7699 0.014801 0 24.625 23.6223 352.8181 -3.0518e-05 -0.014832 352.2072 -0.0063782 -0.021179 24.6875 23.6768 18-Dec-2019 17:53:38
