7C1 7C2 7C9
7C3 7C0 7CA
7C4 7C4 7CB
7C5 7C5 7CD
7C7 7C6 7CD
7C8 7C8 7CF
7C9 7C9 7CF
7CA 7CA 7D1
7C9 7CB 7D2
7CC 7CC 7D3
7CC 7CD 7D5
7CD 7CE 7D7
7CD 7CF 7D6
7CF 7D0 7D7
7CF 7D1 7D8
7CF 7D1 7D9
7D0 7D2 7DA
7D1 7D3 7DB
7D1 7D4 7DC
7D1 7D5 7DD
7D1 7D6 7DD
7D2 7D7 7DD
7D2 7D8 7DF
7D3 7D8 7E0
7D2 7D9 7E1
7D2 7DA 7E1
7D2 7DB 7E2
7D3 7DB 7E2
7D3 7DB 7E4
7D3 7DD 7E4
7D4 7DD 7E5
7D4 7DD 7E5
7D4 7DE 7E6
7D5 7DF 7E7
7D5 7DF 7E7
7D5 7E1 7E7
7D5 7E1 7E8
7D6 7E1 7E9
7D5 7E2 7E9
7D7 7E3 7EA
7ED 7EB 7FD
7ED 7EF 7FB
7F8 7EC 7FF
7ED 7EE 802
7EA 7E5 7F9
7EB 7EC 7FB
7ED 7EF 801
7EB 7EF 7FB
7EB 7ED 7FC
7ED 7F0 7FC
7ED 7EF 7FC
7ED 7ED 7FD
7E9 7EF 7FE
7F1 7EF 7FD
7F3 7EE 7FD
7F4 7F1 7FE
7F8 7EF 800
7F8 7ED 800
7F9 7F1 800
7FC 7EF 801
7FC 7F1 801
7FF 7F3 800
801 7F0 802
801 7F1 801
804 7F0 803
807 7F6 803
808 7F3 803
809 7F1 803
80A 7F4 802
808 7F3 803
80B 7F2 803
80B 7F4 804
80B 7F3 805
80C 7F3 805
809 7F2 805
809 7F1 805
80B 7F5 805
80A 7F5 805
80A 7F2 804
80B 7F5 804
80B 7F5 805
7EC 800 7FF
7FF 7F5 7FB
80C 7DF 806
80A 7F4 807
801 7F7 807
80B 7F6 808
80B 7F5 806
80B 7F7 806
80B 7F4 806
80C 7F5 806
80C 7F7 806
80C 7F5 806
80D 7F7 806
80C 7F7 806
80B 7F6 807
80C 7F7 807
80C 7F7 807
80B 7F7 807
80C 7F9 807
80D 7F7 809
80C 7F7 807
80D 7F9 807
80D 7F7 807
80B 7F7 808
80D 7F9 807
80C 7F8 808
80C 7F9 808
80D 7F9 807
80D 7F9 808
80C 7F9 808
80E 7F9 808
80D 7F9 808
80D 7F9 808
80D 7F9 807
80D 7F9 809
80D 7FA 808
80D 7FA 808
80C 7F9 809
80D 7FA 808
815 7FF 816
80F 7F8 808
80D 800 809
81D 800 833
810 7F9 80B
80E 7FB 80A
801 7DC 80D
80D 7FB 809
80D 7FB 808
80D 7FB 809
80D 7FA 809
80E 7FB 808
80E 7FA 809
80D 7FB 809
80D 7FB 809
80D 7FB 809
80E 7FB 80A
80D 7FB 809
80D 7FB 809
80D 7FB 809
80E 7FB 809
80D 7FC 80A
80E 7FB 809
80D 7FC 809
80D 7FB 80B
80D 7FB 809
80D 7FD 809
80E 7FB 80A
80E 7FB 80A
80D 7FB 809
80E 7FC 809
80D 7FB 80A
80F 7FB 809
80E 7FB 809
80E 7FD 80A
80F 7FD 80A
80D 7FC 80A
80E 7FD 809
80E 7FC 80A
80E 7FD 80A
807 7F7 80C
80F 7FF 80B
80F 7FD 80F
80D 7FD 80B
7ED 7F8 820
80F 7FF 80F
80E 7FD 80B
811 800 807
80D 7FC 809
80D 7FD 80A
813 7D7 818
80F 7FD 809
80C 800 809
80E 7FF 80B
80E 7FD 80A
80E 7FD 80A
80E 7FD 80A
80F 7FD 80B
80E 7FD 80B
80E 7FC 80A
80E 7FE 80A
80D 7FD 80B
80E 7FD 80B
80E 7FD 80A
80F 7FD 80B
80F 7FD 80B
80E 7FD 809
80E 7FD 80A
80D 7FD 80B
80E 7FD 80B
80E 7FD 80A
80D 7FD 80B
80E 7FD 80A
80F 7FD 80B
80E 7FD 80A
80F 7FD 80A
80E 7FE 80B
80E 7FE 80A
80E 7FE 80B
80E 7FD 80B
80D 7FE 80B
7E1 800 810
80D 7FF 807
80D 7FD 80B
80E 800 809
818 7FE 812
80E 7FD 80B
80E 7FE 80B
80E 7FD 80B
80D 7FD 80B
80E 7FE 80B
80F 7FD 80B
80D 7FD 80B
80E 7FE 80B
80D 7FE 80A
80E 7FE 80B
80E 7FD 80B
80E 7FE 80B
80E 7FD 80A
80E 7FE 80B
80E 7FE 80B
80F 7FE 80B
80D 7FE 80B
80E 7FD 80B
80E 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FF 80B
80E 7FD 80C
80E 7FD 80A
80D 7FD 80B
80E 7FD 80B
80E 7FE 80A
80E 7FD 80A
80E 7FE 80B
80D 7FE 80B
80E 7FD 80B
80E 7FE 80B
80D 7FD 80B
80D 7FF 80B
80D 803 807
800 7FF 80A
80D 7FE 80A
80E 7FE 80C
7F1 7FC 80F
80F 7FE 80B
80F 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FF 80B
80E 7FF 80B
80E 7FF 80B
80E 800 80B
80E 7FE 80B
80D 7FE 80B
80F 7FE 80B
80E 7FE 80B
80E 7FE 80B
80D 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FE 80B
80D 7FF 80B
80E 7FE 80B
80D 7FD 80B
80F 7FD 80B
80D 7FF 80B
80F 7FE 80B
80E 7FE 80B
80E 7FF 80B
80E 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FF 80B
80D 800 80A
80E 7FE 80B
80D 7FF 80B
80D 7FD 80B
80F 7FF 80D
7ED 7DC 819
80E 7FF 80B
80E 7FD 80A
80F 7FF 80B
83F 800 80B
80F 800 80B
80D 7FF 80B
80E 7FD 80B
80E 7FE 80B
